Reg,Weight,Module,Regulator,TargetGene
RPL23_RN7SL1,0.0804424771813508,L1,RPL23,RN7SL1
ERBB2_MT-RNR1,0.150434483599547,L1,ERBB2,MT-RNR1
RNU5A-1_RN7SL1,0.125394857634179,L1,RNU5A-1,RN7SL1
SNORD102_RN7SL1,0.042558124179887,L1,SNORD102,RN7SL1
MT-RNR2_RNU5A-1,0.0477105140861497,L1,MT-RNR2,RNU5A-1
MT-RNR2_lncRNA-rRPPH1,0.255029363811012,L1,MT-RNR2,lncRNA-rRPPH1
MT-RNR1_PKM,0.0187043149505539,L1,MT-RNR1,PKM
MT-RNR1_F3,0.0291670652560265,L1,MT-RNR1,F3
MT-RNR1_RARRES1,0.154415171548298,L1,MT-RNR1,RARRES1
MT-RNR1_EIF4A1,0.0166393438811736,L1,MT-RNR1,EIF4A1
MT-RNR1_KRT8,0.0347143246617206,L1,MT-RNR1,KRT8
MT-RNR1_MT-CYB,0.0258741564564352,L1,MT-RNR1,MT-CYB
MT-RNR1_MT-ND3,0.0691289150677121,L1,MT-RNR1,MT-ND3
MT-RNR1_MT-ATP6,0.0459336979772438,L1,MT-RNR1,MT-ATP6
MT-RNR1_MT-CO3,0.0259984979537758,L1,MT-RNR1,MT-CO3
MT-RNR1_MT-TL1,0.10061255795882,L1,MT-RNR1,MT-TL1
MT-RNR1_MT-RNR2,0.810587396701572,L1,MT-RNR1,MT-RNR2
MT-RNR1_MT-TN,-0.0434353620470254,L1,MT-RNR1,MT-TN
MT-RNR1_MT-ND4L,0.111985759897057,L1,MT-RNR1,MT-ND4L
MT-RNR1_RPPH1,0.286754499603452,L1,MT-RNR1,RPPH1
MT-RNR1_ENSG00000283907,0.0981970730248558,L1,MT-RNR1,ENSG00000283907
MT-ND4L_MT-RNR2,0.133610199611457,L1,MT-ND4L,MT-RNR2
MT-ND4L_RN7SL1,0.0792800837065799,L1,MT-ND4L,RN7SL1
SNORD56_MT-RNR1,-0.180831264516759,L1,SNORD56,MT-RNR1
lncRNA-rRPPH1_MT-RNR1,-1.0,L1,lncRNA-rRPPH1,MT-RNR1
lncRNA-rRPPH1_RN7SL1,0.392436039009262,L1,lncRNA-rRPPH1,RN7SL1
RN7SL2_MT-RNR1,0.339439256653046,L1,RN7SL2,MT-RNR1
RN7SL1_RPLP0,0.0182369272037382,L1,RN7SL1,RPLP0
RN7SL1_RPS19,0.018338720729559,L1,RN7SL1,RPS19
RN7SL1_RPS7,0.0175924707400959,L1,RN7SL1,RPS7
RN7SL1_MT-CO3,0.0247237961868598,L1,RN7SL1,MT-CO3
RN7SL1_RPL41,0.0519407369391753,L1,RN7SL1,RPL41
RN7SL1_RN7SL2,0.389088075500934,L1,RN7SL1,RN7SL2
RMRP_MT-RNR1,-0.649811754621082,L1,RMRP,MT-RNR1
HSPA8_lncRNA-rRPPH1,0.217377494179153,L2,HSPA8,lncRNA-rRPPH1
MT-RNR2_RARRES1,0.0697308237160115,L2,MT-RNR2,RARRES1
MT-RNR2_MT-ND3,0.0477328459018488,L2,MT-RNR2,MT-ND3
MT-RNR2_RNU5B-1,0.0165873202056393,L2,MT-RNR2,RNU5B-1
