Reg,Regulator,TargetGene,Weight,Module
YKL106C-A_YEL032C-A,YKL106C-A,YEL032C-A,0.0902273032887603,1
YKL106C-A_YBR252W,YKL106C-A,YBR252W,0.0121221528674176,1
YKL106C-A_YJL205C,YKL106C-A,YJL205C,0.0261935084842145,1
YKL106C-A_YPR183W,YKL106C-A,YPR183W,0.0117901323658429,1
YKL106C-A_YLR062C,YKL106C-A,YLR062C,0.0136169867778252,1
YKL106C-A_snR18,YKL106C-A,snR18,0.0813876563381492,1
YKL106C-A_YCR038W-A,YKL106C-A,YCR038W-A,0.0388687567419067,1
YKL106C-A_YDL061C,YKL106C-A,YDL061C,0.0414808252759023,1
YKL106C-A_YBR261C,YKL106C-A,YBR261C,0.010708079184902,1
YKL106C-A_YMR307C-A,YKL106C-A,YMR307C-A,0.0116237478161712,1
YKL106C-A_snR161,YKL106C-A,snR161,0.0120661413333827,1
YKL106C-A_snR128,YKL106C-A,snR128,0.0417242638529419,1
YKL106C-A_YAL019W-A,YKL106C-A,YAL019W-A,0.0130240313793589,1
YKL106C-A_snR40,YKL106C-A,snR40,0.0460291654045095,1
YKL106C-A_YMR123W,YKL106C-A,YMR123W,0.0100088138374629,1
YKL106C-A_YLR264W,YKL106C-A,YLR264W,0.0222289641454002,1
YKL106C-A_YOR302W,YKL106C-A,YOR302W,0.0556867835179548,1
YKL106C-A_YKR057W,YKL106C-A,YKR057W,0.029807343229781,1
YKL106C-A_YLR162W-A,YKL106C-A,YLR162W-A,0.0113463975930149,1
YKL106C-A_YBR056C-B,YKL106C-A,YBR056C-B,0.0243139221318957,1
YKL106C-A_YJL136C,YKL106C-A,YJL136C,0.0125155315234376,1
YKL106C-A_YNL070W,YKL106C-A,YNL070W,0.0102081378138534,1
YKL106C-A_YNL028W,YKL106C-A,YNL028W,0.0101953248840823,1
YKL106C-A_YCR047W-A,YKL106C-A,YCR047W-A,0.0387237735106769,1
YKL106C-A_YKR045C,YKL106C-A,YKR045C,0.0110899990363867,1
YKL106C-A_YDR500C,YKL106C-A,YDR500C,0.0126224145961434,1
YKL106C-A_YDL114W-A,YKL106C-A,YDL114W-A,0.0242425278742598,1
YPR182W_YDR354C-A,YPR182W,YDR354C-A,0.0255472087889372,1
YPR182W_YCL048W-A,YPR182W,YCL048W-A,0.0100567880566599,1
YPR182W_YOL039W,YPR182W,YOL039W,0.0105403114178809,1
YPR182W_YDL025W-A,YPR182W,YDL025W-A,0.0127891888844683,1
YPR182W_YPL135C-A,YPR182W,YPL135C-A,0.0367426381736651,1
YEL032C-A_YKL106C-A,YEL032C-A,YKL106C-A,0.0887114432772751,1
YEL032C-A_YBR252W,YEL032C-A,YBR252W,0.0196904702760082,1
YEL032C-A_YJL205C,YEL032C-A,YJL205C,0.0365620885402518,1
YEL032C-A_YLR062C,YEL032C-A,YLR062C,0.0212567608638102,1
YEL032C-A_YDR194W-A,YEL032C-A,YDR194W-A,0.0112067614093441,1
YEL032C-A_snR18,YEL032C-A,snR18,0.122393887507261,1
YEL032C-A_YCR038W-A,YEL032C-A,YCR038W-A,0.0555595943790779,1
YEL032C-A_YDL061C,YEL032C-A,YDL061C,0.0699669379000501,1
YEL032C-A_YPR113W,YEL032C-A,YPR113W,0.0100872166074539,1
YEL032C-A_YML129C,YEL032C-A,YML129C,0.0697964699156126,1
YEL032C-A_YMR307C-A,YEL032C-A,YMR307C-A,0.0177779731876354,1
YEL032C-A_snR161,YEL032C-A,snR161,0.0186687889431113,1
YEL032C-A_snR128,YEL032C-A,snR128,0.0647968532841586,1
YEL032C-A_tV(AAC)O,YEL032C-A,tV(AAC)O,0.152636017702119,1
YEL032C-A_YDR246W-A,YEL032C-A,YDR246W-A,0.0172913412057034,1
YEL032C-A_YMR272W-A,YEL032C-A,YMR272W-A,0.103543177363726,1
YEL032C-A_YHR073W-A,YEL032C-A,YHR073W-A,0.0398449202168646,1
YEL032C-A_YMR123W,YEL032C-A,YMR123W,0.0154699988046451,1
YEL032C-A_YLR264W,YEL032C-A,YLR264W,0.0325457940049982,1
YEL032C-A_YKR057W,YEL032C-A,YKR057W,0.0451171959539747,1
YEL032C-A_YJL047C-A,YEL032C-A,YJL047C-A,0.0149981897678072,1
YEL032C-A_YLR162W-A,YEL032C-A,YLR162W-A,0.0173958466909068,1
YEL032C-A_YBR056C-B,YEL032C-A,YBR056C-B,0.0360532548196116,1
YEL032C-A_YNL070W,YEL032C-A,YNL070W,0.0152390008262852,1
YEL032C-A_YLR185W,YEL032C-A,YLR185W,0.0299877607357707,1
YEL032C-A_YMR013C-A,YEL032C-A,YMR013C-A,0.0175639890458555,1
YEL032C-A_YLR390W,YEL032C-A,YLR390W,0.0123712260866693,1
YEL032C-A_YBR196C-B,YEL032C-A,YBR196C-B,0.0132507028846499,1
YEL032C-A_YDL240C-A,YEL032C-A,YDL240C-A,0.0144292292403166,1
YEL032C-A_snR85,YEL032C-A,snR85,0.0397694168923205,1
YEL032C-A_YOR394C-A,YEL032C-A,YOR394C-A,0.0154812001232022,1
YEL032C-A_YPL102C,YEL032C-A,YPL102C,0.013096154445471,1
YEL032C-A_YNL028W,YEL032C-A,YNL028W,0.0157661760128483,1
YEL032C-A_YNL144W-A,YEL032C-A,YNL144W-A,0.0164672158515143,1
YEL032C-A_snR62,YEL032C-A,snR62,0.0182603758616242,1
YEL032C-A_YCR047W-A,YEL032C-A,YCR047W-A,0.0526784396375635,1
YEL032C-A_snR39,YEL032C-A,snR39,0.129739214604677,1
YEL032C-A_YNL162W-A,YEL032C-A,YNL162W-A,0.0252488951959459,1
