Reg,Regulator,TargetGene,Weight,Module,RegulatorBiotype,TargetBiotype
YEL032C-A_snR18,YEL032C-A,snR18,0.122393887507261,1,protein_coding,snoRNA
YEL032C-A_tV(AAC)O,YEL032C-A,tV(AAC)O,0.152636017702119,1,protein_coding,tRNA
YEL032C-A_YMR272W-A,YEL032C-A,YMR272W-A,0.103543177363726,1,protein_coding,protein_coding
YEL032C-A_snR39,YEL032C-A,snR39,0.129739214604677,1,protein_coding,snoRNA
snR18_tV(AAC)O,snR18,tV(AAC)O,0.142668228203284,1,snoRNA,tRNA
snR18_snR39,snR18,snR39,0.184635135738049,1,snoRNA,snoRNA
snR87_YBR141W-A,snR87,YBR141W-A,0.136998116244712,1,snoRNA,protein_coding
YEL008C-A_YBR141W-A,YEL008C-A,YBR141W-A,0.141034651032608,1,protein_coding,protein_coding
YEL008C-A_snR39,YEL008C-A,snR39,0.136829520694494,1,protein_coding,snoRNA
YKL156C-A_tV(AAC)O,YKL156C-A,tV(AAC)O,-0.129252694365706,1,protein_coding,tRNA
YKL156C-A_snR79,YKL156C-A,snR79,0.164771724461293,1,protein_coding,snoRNA
tV(AAC)O_YEL032C-A,tV(AAC)O,YEL032C-A,0.152543631460266,1,tRNA,protein_coding
tV(AAC)O_snR18,tV(AAC)O,snR18,0.149680905388247,1,tRNA,snoRNA
tV(AAC)O_YKL156C-A,tV(AAC)O,YKL156C-A,-0.129854725440117,1,tRNA,protein_coding
tV(AAC)O_snR39,tV(AAC)O,snR39,0.16580514563389,1,tRNA,snoRNA
tV(AAC)O_snR79,tV(AAC)O,snR79,-0.174470772487582,1,tRNA,snoRNA
YMR272W-A_YEL032C-A,YMR272W-A,YEL032C-A,0.10692570977958,1,protein_coding,protein_coding
snR67_YJR151W-A,snR67,YJR151W-A,0.104588263983225,1,snoRNA,protein_coding
snR67_YBR141W-A,snR67,YBR141W-A,0.158590382797123,1,snoRNA,protein_coding
snR67_snR79,snR67,snR79,0.142046096788779,1,snoRNA,snoRNA
YJR151W-A_snR79,YJR151W-A,snR79,0.133186143768076,1,protein_coding,snoRNA
YBR141W-A_YDL232W,YBR141W-A,YDL232W,0.138391754413908,1,protein_coding,protein_coding
YBR141W-A_snR87,YBR141W-A,snR87,0.133469797220712,1,protein_coding,snoRNA
YBR141W-A_snR67,YBR141W-A,snR67,0.161466021650322,1,protein_coding,snoRNA
YBR141W-A_YJR151W-A,YBR141W-A,YJR151W-A,0.154667508904127,1,protein_coding,protein_coding
YBR141W-A_YKL100W-A,YBR141W-A,YKL100W-A,0.107336243603813,1,protein_coding,protein_coding
