Reg,Weight,Module,Regulator,TargetGene
YKL106C-A_YDL232W,0.141283051159455,G1,YKL106C-A,YDL232W
YKL106C-A_snR18,0.122028899583423,G1,YKL106C-A,snR18
YKL106C-A_snR39,0.101111729493351,G1,YKL106C-A,snR39
YEL032C-A_YDL232W,0.164022785053267,G1,YEL032C-A,YDL232W
YDL232W_YKL106C-A,0.141621346171564,G1,YDL232W,YKL106C-A
YDL232W_YEL032C-A,0.159462577503344,G1,YDL232W,YEL032C-A
YDL232W_snR18,0.234040258907519,G1,YDL232W,snR18
YDL232W_tV(AAC)O,0.10270864314387,G1,YDL232W,tV(AAC)O
YDL232W_YMR272W-A,0.1060806019014,G1,YDL232W,YMR272W-A
YDL232W_snR59,0.119740961729597,G1,YDL232W,snR59
YDL232W_snR39,0.187984294151493,G1,YDL232W,snR39
snR18_YKL106C-A,0.122855159412061,G1,snR18,YKL106C-A
snR18_tP(UGG)Q,-0.100166197183948,G1,snR18,tP(UGG)Q
snR18_YDL232W,0.235127297933512,G1,snR18,YDL232W
snR18_tV(AAC)O,0.105693437472087,G1,snR18,tV(AAC)O
snR18_snR59,0.103380135104733,G1,snR18,snR59
snR18_snR39,0.172903090230413,G1,snR18,snR39
tV(AAC)O_snR18,0.108227698890815,G1,tV(AAC)O,snR18
YDL184C_YJR151W-A,0.232693757380529,G1,YDL184C,YJR151W-A
snR75_YJR151W-A,0.187397928740677,G1,snR75,YJR151W-A
snR67_YJR151W-A,0.409682557948825,G1,snR67,YJR151W-A
YOR302W_snR79,0.107200826813505,G1,YOR302W,snR79
YJR151W-A_YBL071C-B,0.114267049154203,G1,YJR151W-A,YBL071C-B
YJR151W-A_snR76,0.153165179535741,G1,YJR151W-A,snR76
YJR151W-A_YPR160W-A,0.119358244344704,G1,YJR151W-A,YPR160W-A
YJR151W-A_snR71,0.107503346151603,G1,YJR151W-A,snR71
YJR151W-A_snR66,0.136807561014165,G1,YJR151W-A,snR66
YJR151W-A_YDL184C,0.237668734414124,G1,YJR151W-A,YDL184C
YJR151W-A_snR58,0.129999063113017,G1,YJR151W-A,snR58
YJR151W-A_snR75,0.192906753648939,G1,YJR151W-A,snR75
YJR151W-A_snR67,0.407141524408387,G1,YJR151W-A,snR67
YJR151W-A_YOR302W,-0.177923600459504,G1,YJR151W-A,YOR302W
YJR151W-A_snR24,0.159431988782704,G1,YJR151W-A,snR24
YJR151W-A_YBR141W-A,-0.159007567961252,G1,YJR151W-A,YBR141W-A
YJR151W-A_YLR162W-A,0.106834556133666,G1,YJR151W-A,YLR162W-A
YJR151W-A_YER053C-A,0.186396670163221,G1,YJR151W-A,YER053C-A
YJR151W-A_YLR163W-A,0.162202227037196,G1,YJR151W-A,YLR163W-A
YJR151W-A_YKL100W-A,0.162913286494596,G1,YJR151W-A,YKL100W-A
YJR151W-A_YHL015W-A,0.157669770227094,G1,YJR151W-A,YHL015W-A
YJR151W-A_YLR154W-F,0.322085776129347,G1,YJR151W-A,YLR154W-F
