Reg,Regulator,TargetGene,Weight,Module
YDL232W_snR64,YDL232W,snR64,0.0606839464006097,1
snR18_snR39,snR18,snR39,0.184635135738049,1
snR64_YDL232W,snR64,YDL232W,0.0619074992803541,1
snR40_snR87,snR40,snR87,0.0506167064594675,1
snR67_snR55,snR67,snR55,0.0578311763257477,1
snR67_snR39B,snR67,snR39B,0.0833717246672516,1
snR67_snR79,snR67,snR79,0.142046096788779,1
snR39_snR18,snR39,snR18,0.180879785450929,1
snR39_snR87,snR39,snR87,0.114000106299134,1
snR39_snR128,snR39,snR128,0.0766713962985261,1
snR39_snR40,snR39,snR40,0.0878165387297872,1
snR39_YOR302W,snR39,YOR302W,0.0869469222584387,1
snR39_YKR057W,snR39,YKR057W,0.0510274311968408,1
snR39_YDL067C,snR39,YDL067C,0.0606729878375622,1
snR39_snR55,snR39,snR55,0.0681433361841691,1
snR39_snR39B,snR39,snR39B,0.110162188339509,1
snR39B_snR87,snR39B,snR87,0.0643238939325378,1
snR79_YDL232W,snR79,YDL232W,0.133760110897819,1
snR79_snR64,snR79,snR64,0.114715444075777,1
snR79_snR66,snR79,snR66,0.116881346926491,1
snR79_snR74,snR79,snR74,0.0865477697307854,1
snR79_snR67,snR79,snR67,0.148025025395861,1
snR79_snR55,snR79,snR55,0.0806829267906619,1
YEL032C-A_YKL106C-A,YEL032C-A,YKL106C-A,0.0705656293664367,2
YEL032C-A_YDL061C,YEL032C-A,YDL061C,0.0589220690453626,2
YEL032C-A_snR39,YEL032C-A,snR39,0.103412701169169,2
snR77_YLR162W-A,snR77,YLR162W-A,0.0565762057378735,2
YDL232W_YKL162C-A,YDL232W,YKL162C-A,0.0502614021238821,2
YDL232W_snR64,YDL232W,snR64,0.0879628368241726,2
YDL232W_YBR141W-A,YDL232W,YBR141W-A,0.158745468074862,2
snR18_snR39,snR18,snR39,0.118016287863027,2
snR87_YBR141W-A,snR87,YBR141W-A,0.0787927569186283,2
YML129C_YER053C-A,YML129C,YER053C-A,0.0603369959700597,2
YNL097W-A_YER053C-A,YNL097W-A,YER053C-A,0.051383244817405,2
tV(AAC)O_YEL032C-A,tV(AAC)O,YEL032C-A,0.143053259800506,2
YMR272W-A_YKL106C-A,YMR272W-A,YKL106C-A,0.070674633268789,2
YMR272W-A_YEL032C-A,YMR272W-A,YEL032C-A,0.0982947889323497,2
YMR272W-A_YLR402W,YMR272W-A,YLR402W,0.0579347282393585,2
YMR272W-A_YDL061C,YMR272W-A,YDL061C,0.0629585860308431,2
YMR272W-A_YML129C,YMR272W-A,YML129C,0.0845608381398087,2
YMR272W-A_YNL097W-A,YMR272W-A,YNL097W-A,0.0756917542272914,2
YMR272W-A_YOR302W,YMR272W-A,YOR302W,0.068655929409623,2
YMR272W-A_YER053C-A,YMR272W-A,YER053C-A,0.0968134056321875,2
YPL189C-A_YBL006W-A,YPL189C-A,YBL006W-A,0.0544484419257939,2
YJR151W-A_snR38,YJR151W-A,snR38,0.0586250017354806,2
YJR151W-A_snR72,YJR151W-A,snR72,0.0555155729577812,2
YBR141W-A_YDL232W,YBR141W-A,YDL232W,0.167782557321273,2
YBR141W-A_snR87,YBR141W-A,snR87,0.0780561570514095,2
YBR141W-A_snR55,YBR141W-A,snR55,0.0563563775981808,2
YBR141W-A_snR39B,YBR141W-A,snR39B,0.0827460398149973,2
YER053C-A_YNL097W-A,YER053C-A,YNL097W-A,0.0517419209523859,2
tR(CCU)J_snR39,tR(CCU)J,snR39,0.091843516265273,2
snR39_YCR038W-A,snR39,YCR038W-A,0.0852197400489256,2
snR39_snR87,snR39,snR87,0.0758394074134836,2
snR39_YEL008C-A,snR39,YEL008C-A,0.0905120959934193,2
snR39_snR128,snR39,snR128,0.0729410261761864,2
snR39_YKR057W,snR39,YKR057W,0.0583077081815276,2
snR39_tR(CCU)J,snR39,tR(CCU)J,0.0955101768312783,2
snR39_YBR126W-A,snR39,YBR126W-A,0.0604799312664937,2
snR39B_YBR141W-A,snR39B,YBR141W-A,0.0760165776325235,2
snR79_YOR161W-A,snR79,YOR161W-A,0.0635029857910132,2
snR79_snR64,snR79,snR64,0.0856313720882962,2
snR79_snR66,snR79,snR66,0.127121439467093,2
snR79_YKL156C-A,snR79,YKL156C-A,0.182288235971391,2
snR79_YNL103W-A,snR79,YNL103W-A,0.0602248947162352,2
snR79_snR74,snR79,snR74,0.0981441008323038,2
snR79_YDL133C-A,snR79,YDL133C-A,0.141559268464438,2
snR79_YEL017C-A,snR79,YEL017C-A,0.0674421160125202,2
snR79_snR67,snR79,snR67,0.156988560288398,2
snR79_YMR182W-A,snR79,YMR182W-A,0.112015607400138,2
snR79_YBR141W-A,snR79,YBR141W-A,0.13754845110383,2
snR79_YHR032C-A,snR79,YHR032C-A,0.0772986442721337,2
snR79_YGL014C-A,snR79,YGL014C-A,0.0512039362767291,2
snR79_YLR163W-A,snR79,YLR163W-A,0.0722951495218938,2
snR79_snR55,snR79,snR55,0.0593204329967648,2
snR79_YKL100W-A,snR79,YKL100W-A,0.114917774997654,2
snR79_YLR299C-A,snR79,YLR299C-A,0.109599370442404,2
YEL032C-A_snR40,YEL032C-A,snR40,0.0622192737295164,2
YEL032C-A_YOR302W,YEL032C-A,YOR302W,0.0740643383569317,2
YEL032C-A_YLR399W-A,YEL032C-A,YLR399W-A,0.0653487036438651,2
YGR068W-A_YBL006W-A,YGR068W-A,YBL006W-A,0.0606248032016269,2
YGR068W-A_YPL189C-A,YGR068W-A,YPL189C-A,0.0618618323931276,2
YDL232W_snR87,YDL232W,snR87,0.102190293367814,2
YDL232W_YEL008C-A,YDL232W,YEL008C-A,0.131071634929526,2
YDL232W_snR55,YDL232W,snR55,0.0629093141305242,2
YDL232W_snR39,YDL232W,snR39,0.140071609102842,2
YDL232W_snR39B,YDL232W,snR39B,0.0957291288436946,2
snR18_YEL032C-A,snR18,YEL032C-A,0.110322963575669,2
snR18_YCR038W-A,snR18,YCR038W-A,0.070815949196577,2
snR18_snR69,snR18,snR69,0.0504873735667527,2
snR18_snR128,snR18,snR128,0.0661126162066134,2
snR18_snR40,snR18,snR40,0.0530725692505399,2
snR18_tR(CCG)L,snR18,tR(CCG)L,0.0535119206837734,2
snR18_YKR057W,snR18,YKR057W,0.0506502117151066,2
snR18_tR(CCU)J,snR18,tR(CCU)J,0.065037488878062,2
snR18_YHL015W-A,snR18,YHL015W-A,0.0712482219795633,2
YCR038W-A_tR(CCU)J,YCR038W-A,tR(CCU)J,0.0537804947366038,2
YCR038W-A_YHL015W-A,YCR038W-A,YHL015W-A,0.051999641873177,2
YBL006W-A_YPL189C-A,YBL006W-A,YPL189C-A,0.055163559285493,2
snR87_YDL232W,snR87,YDL232W,0.108750505178647,2
snR87_YEL008C-A,snR87,YEL008C-A,0.064306908190101,2
YEL008C-A_YDL232W,YEL008C-A,YDL232W,0.13628101831259,2
snR64_YBR141W-A,snR64,YBR141W-A,0.0774426086466502,2
YMR272W-A_YDR354C-A,YMR272W-A,YDR354C-A,0.0530163947440134,2
YMR272W-A_YJL136W-A,YMR272W-A,YJL136W-A,0.0548866050489437,2
YMR272W-A_YPL189C-A,YMR272W-A,YPL189C-A,0.0603434452106022,2
YMR272W-A_YCR024C-A,YMR272W-A,YCR024C-A,0.0716601703156894,2
YJR151W-A_tQ(UUG)B,YJR151W-A,tQ(UUG)B,0.0550568439866154,2
YJR151W-A_snR54,YJR151W-A,snR54,0.0520678706775007,2
YJR151W-A_YOR161W-A,YJR151W-A,YOR161W-A,0.0694858825706252,2
YJR151W-A_YDL232W,YJR151W-A,YDL232W,0.215198884858934,2
YJR151W-A_snR87,YJR151W-A,snR87,0.0925220855263504,2
YJR151W-A_YKL162C-A,YJR151W-A,YKL162C-A,0.0519598745721358,2
YJR151W-A_YPR160W-A,YJR151W-A,YPR160W-A,0.109420012223259,2
YJR151W-A_tR(CCU)J,YJR151W-A,tR(CCU)J,0.109689472864281,2
YJR151W-A_YNL144W-A,YJR151W-A,YNL144W-A,0.0556481059256491,2
YJR151W-A_YJL077W-A,YJR151W-A,YJL077W-A,0.0654684180172747,2
YJR151W-A_tR(ACG)J,YJR151W-A,tR(ACG)J,0.0519737770880698,2
YBR141W-A_YKL106C-A,YBR141W-A,YKL106C-A,0.058307605539229,2
YBR141W-A_snR64,YBR141W-A,snR64,0.0791448984376331,2
YBR141W-A_YLR154W-F,YBR141W-A,YLR154W-F,0.0613047570624086,2
YER053C-A_YEL032C-A,YER053C-A,YEL032C-A,0.0738790789220374,2
